objectid,filename,title,format,subject,description,creator,photography,source,date,rightsstatement,rights,language,location,multiplecoins,rarity,approximatevalue
coin001,CoinBailiwickfBackgroundRemoved.png,Bailiwick of Jersey,png,,,Arnold Machin,States of Jersey,,1997,https://www.gov.je/pages/terms.aspx#anchor-1,"Copyright protected material may be reproduced free of charge in any format or medium for research, private study or for internal circulation within an organisation.",English,Bailiwick of Jersey,,,
coin002,CoinBailiwickbBackgroundRemoved.png,Bailiwick of Jersey,png,,,George Edward Kruger-Gray,States of Jersey,,1997,https://www.gov.je/pages/terms.aspx#anchor-1,"Copyright protected material may be reproduced free of charge in any format or medium for research, private study or for internal circulation within an organisation.",English,Bailiwick of Jersey,,,
coin003,CoinDictionaryfBackgroundRemoved.png,The 250th Anniversary of Samuel Johnson's Dictionary of the English Language,png,,,Ian Rank-Broadley,The Royal Mint,,2005,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin004,CoinDictionarybBackgroundRemoved.png,The 250th Anniversary of Samuel Johnson's Dictionary of the English Language,png,,,Tom Philips,The Royal Mint,,2005,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin005,CoinVC1fBackgroundRemoved.png,The 150th Anniversary of the Institution of the Victoria Cross,png,,,Ian Rank-Broadley,The Royal Mint,,2006,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin006,CoinVC1bBackgroundRemoved.png,The 150th Anniversary of the Institution of the Victoria Cross,png,,,Tom Cross,The Royal Mint,,2006,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin007,CoinVC2fBackgroundRemoved.png,The 150th Anniversary of the Institution of the Victoria Cross,png,,,Ian Rank-Broadley,The Royal Mint,,2006,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin008,CoinVC2bBackgroundRemoved.png,The 150th Anniversary of the Institution of the Victoria Cross,png,,,Claire Aldridge,The Royal Mint,,2006,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin009,CoinGirlguidingfBackgroundRemoved.png,Celebrating 100 Years of Girlguiding UK,png,,,Ian Rank-Broadley,The Royal Mint,,2010,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
coin010,CoinGirlguidingbBackgroundRemoved.png,Celebrating 100 Years of Girlguiding UK,png,,,Jonathan Evans;Donna Hainan,The Royal Mint,,2010,https://www.royalmint.com/aboutus/policies-and-guidelines/advertising-guidelines/,"For Use on educational or informative websites or literature:Permission is granted, so long as the use of photography is in good taste and used in a positive context. All photography should be credited to The Royal Mint (The Royal Mint, date issued) which should be displayed below the image or at the bottom of the image.",English,United Kingdom,,,
